session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6218f1452145659b798fff8b,5f21977dc0f15e0b2fc712a0,AWAITING REVIEW,2022-02-25 15:10:00.719000,2022-02-25 15:34:14.508000,1453.789,27,34,1,100,,4A0A6BF5,Dominican Republic,Portugal,Full-Time,Spanish,"Spanish, English, Portuguese",Portugal,Male,Yes,Yes
6218f145b2b17bb687a73514,5eb6f85c1c54b4067b4ba65d,AWAITING REVIEW,2022-02-25 15:09:59.978000,2022-02-25 16:07:15.021000,3435.043,21,217,1,100,,4A0A6BF5,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,Yes,Yes
6218f15018ab8e97b401b5a3,5f20619d94d0f833b5a7cc1d,RETURNED,2022-02-25 15:10:08.022000,,246054.093226,23,185,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f157bc65905b609dd4d1,60ed4ea05cc86311a2b5eb19,AWAITING REVIEW,2022-02-25 15:10:50.806000,2022-02-25 15:35:32.294000,1481.488,25,36,0,100,,4A0A6BF5,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,No,Yes
6218f15af932387d18b71bf1,5d2716fd9bf87a000194f8a1,AWAITING REVIEW,2022-02-25 15:10:18.393000,2022-02-25 15:25:10.622000,892.229,30,108,1,100,,4A0A6BF5,Iceland,Iceland,DATA EXPIRED,Icelandic,"Danish, English, Icelandic",Iceland,Female,DATA EXPIRED,Yes
6218f15b64f732cb4ac366f7,60f6eb7d1c74e967f259945c,AWAITING REVIEW,2022-02-25 15:10:19.588000,2022-02-25 15:42:22.633000,1923.045,19,50,0,100,,4A0A6BF5,South Africa,South Africa,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,South Africa,Female,Yes,Yes
6218f161e7fa4ea313b0c028,5f209bb12cf3543aed1fee25,AWAITING REVIEW,2022-02-25 15:11:17.385000,2022-02-25 15:30:31.006000,1153.621,26,217,2,100,,4A0A6BF5,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Portugal,Female,No,Yes
6218f1636819a25ccf9d868d,60c7928e14e0a43a43369a5b,AWAITING REVIEW,2022-02-25 15:10:32.696000,2022-02-25 16:05:21.113000,3288.417,24,111,0,100,,4A0A6BF5,South Africa,South Africa,Unemployed (and job seeking),English,"English, Afrikaans",South Africa,Female,Yes,Yes
6218f1637f4cb51ffc441ad8,5faaa4c2c88ddf433bc961e9,RETURNED,2022-02-25 15:11:22.763000,,245979.492736,21,33,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f1643e5793f1a7f19fb9,601aa0b567409b2966e096f7,RETURNED,2022-02-25 15:10:28.388000,,246033.889074,32,67,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
